class_number,cohort,program,snapshot_date,days_to_start,regime,currently_enrolled,high_water_enrolled,proj_low,proj_mid,proj_high,actual_starts,error,abs_error,pct_error,in_range,range_width,version,version_commit,version_commit_date
566,NDT566,NDT-Day,2026-05-12,6,near-<14,64,,1.0,3.0,5.0,3,0.0,0.0,0.0,True,4.0,earliest-available,4667c2d,2026-06-01
566,NDT566,NDT-Day,2026-05-15,3,near-<14,63,63.0,4.0,5.0,6.0,3,2.0,2.0,0.6666666666666666,False,2.0,earliest-available,4667c2d,2026-06-01
566,NDT566NC,NDT-Night,2026-05-12,6,near-<14,10,,3.0,5.0,5.0,6,-1.0,1.0,-0.16666666666666666,False,2.0,earliest-available,4667c2d,2026-06-01
566,NDT566NC,NDT-Night,2026-05-15,3,near-<14,11,11.0,6.0,7.0,7.0,6,1.0,1.0,0.16666666666666666,True,1.0,earliest-available,4667c2d,2026-06-01
566,UDT566,UDT,2026-05-12,6,near-<14,46,,9.0,14.0,17.0,10,4.0,4.0,0.4,True,8.0,earliest-available,4667c2d,2026-06-01
566,UDT566,UDT,2026-05-15,3,near-<14,43,43.0,11.0,11.0,12.0,10,1.0,1.0,0.1,False,1.0,earliest-available,4667c2d,2026-06-01
567,NDT567,NDT-Day,2026-05-12,48,far-30+,44,,14.0,18.0,22.0,18,0.0,0.0,0.0,True,8.0,earliest-available,4667c2d,2026-06-01
567,NDT567,NDT-Day,2026-05-15,45,far-30+,44,44.0,14.0,18.0,22.0,18,0.0,0.0,0.0,True,8.0,earliest-available,4667c2d,2026-06-01
567,NDT567,NDT-Day,2026-05-22,38,far-30+,42,44.0,13.0,18.0,23.0,18,0.0,0.0,0.0,True,10.0,earliest-available,4667c2d,2026-06-01
567,NDT567,NDT-Day,2026-05-26,34,far-30+,42,44.0,13.0,18.0,23.0,18,0.0,0.0,0.0,True,10.0,earliest-available,4667c2d,2026-06-01
567,NDT567,NDT-Day,2026-06-01,28,medium-14-30,60,60.0,8.0,12.0,15.0,18,-6.0,6.0,-0.3333333333333333,False,7.0,published,4667c2d,2026-06-01
567,NDT567,NDT-Day,2026-06-08,21,medium-14-30,82,82.0,8.0,13.0,17.0,18,-5.0,5.0,-0.2777777777777778,False,9.0,published,bfc14ca,2026-06-08
567,NDT567,NDT-Day,2026-06-12,17,medium-14-30,96,96.0,10.0,15.0,18.0,18,-3.0,3.0,-0.16666666666666666,True,8.0,published,9215357,2026-06-12
567,NDT567,NDT-Day,2026-06-18,11,near-<14,104,104.0,11.0,14.0,17.0,18,-4.0,4.0,-0.2222222222222222,False,6.0,published,b40dc4d,2026-06-18
567,NDT567,NDT-Day,2026-06-26,3,near-<14,120,120.0,14.0,14.0,15.0,18,-4.0,4.0,-0.2222222222222222,False,1.0,published,d930753,2026-06-26
567,UDT567,UDT,2026-05-12,48,far-30+,43,,17.0,22.0,28.0,8,14.0,14.0,1.75,False,11.0,earliest-available,4667c2d,2026-06-01
567,UDT567,UDT,2026-05-15,45,far-30+,44,44.0,17.0,22.0,28.0,8,14.0,14.0,1.75,False,11.0,earliest-available,4667c2d,2026-06-01
567,UDT567,UDT,2026-05-22,38,far-30+,42,44.0,17.0,22.0,28.0,8,14.0,14.0,1.75,False,11.0,earliest-available,4667c2d,2026-06-01
567,UDT567,UDT,2026-05-26,34,far-30+,42,44.0,17.0,22.0,28.0,8,14.0,14.0,1.75,False,11.0,earliest-available,4667c2d,2026-06-01
567,UDT567,UDT,2026-06-01,28,medium-14-30,57,57.0,10.0,15.0,19.0,8,7.0,7.0,0.875,False,9.0,published,4667c2d,2026-06-01
567,UDT567,UDT,2026-06-08,21,medium-14-30,63,63.0,10.0,15.0,21.0,8,7.0,7.0,0.875,False,11.0,published,bfc14ca,2026-06-08
567,UDT567,UDT,2026-06-12,17,medium-14-30,57,63.0,11.0,17.0,21.0,8,9.0,9.0,1.125,False,10.0,published,9215357,2026-06-12
567,UDT567,UDT,2026-06-18,11,near-<14,49,63.0,9.0,14.0,17.0,8,6.0,6.0,0.75,False,8.0,published,b40dc4d,2026-06-18
567,UDT567,UDT,2026-06-26,3,near-<14,37,63.0,7.0,8.0,8.0,8,0.0,0.0,0.0,True,1.0,published,d930753,2026-06-26
568,NDT568,NDT-Day,2026-05-12,83,far-30+,19,,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,earliest-available,4667c2d,2026-06-01
568,NDT568,NDT-Day,2026-05-15,80,far-30+,19,19.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,earliest-available,4667c2d,2026-06-01
568,NDT568,NDT-Day,2026-05-22,73,far-30+,18,19.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,earliest-available,4667c2d,2026-06-01
568,NDT568,NDT-Day,2026-05-26,69,far-30+,18,19.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,earliest-available,4667c2d,2026-06-01
568,NDT568,NDT-Day,2026-06-01,63,far-30+,19,19.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,published,4667c2d,2026-06-01
568,NDT568,NDT-Day,2026-06-08,56,far-30+,20,20.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,published,bfc14ca,2026-06-08
568,NDT568,NDT-Day,2026-06-12,52,far-30+,45,45.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,published,9215357,2026-06-12
568,NDT568,NDT-Day,2026-06-18,46,far-30+,52,52.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,published,b40dc4d,2026-06-18
568,NDT568,NDT-Day,2026-06-26,38,far-30+,66,66.0,8.0,10.0,13.0,5,5.0,5.0,1.0,False,5.0,published,d930753,2026-06-26
568,NDT568,NDT-Day,2026-07-07,27,medium-14-30,63,66.0,4.0,6.0,8.0,5,1.0,1.0,0.2,True,4.0,published,2c18386,2026-07-07
568,NDT568,NDT-Day,2026-07-13,21,medium-14-30,104,104.0,4.0,7.0,9.0,5,2.0,2.0,0.4,True,5.0,published,95b0ac3,2026-07-13
568,NDT568,NDT-Day,2026-07-20,14,medium-14-30,117,117.0,4.0,7.0,9.0,5,2.0,2.0,0.4,True,5.0,published,023dc9c,2026-07-20
568,NDT568,NDT-Day,2026-07-31,3,near-<14,123,123.0,4.0,5.0,6.0,5,0.0,0.0,0.0,True,2.0,published,cb80888,2026-07-31
568,NDT568NC,NDT-Night,2026-05-12,83,far-30+,1,,4.0,7.0,10.0,8,-1.0,1.0,-0.125,True,6.0,earliest-available,4667c2d,2026-06-01
568,NDT568NC,NDT-Night,2026-05-15,80,far-30+,1,1.0,4.0,7.0,10.0,8,-1.0,1.0,-0.125,True,6.0,earliest-available,4667c2d,2026-06-01
568,NDT568NC,NDT-Night,2026-05-22,73,far-30+,1,1.0,5.0,7.0,9.0,8,-1.0,1.0,-0.125,True,4.0,earliest-available,4667c2d,2026-06-01
568,NDT568NC,NDT-Night,2026-05-26,69,far-30+,1,1.0,4.0,6.0,8.0,8,-2.0,2.0,-0.25,True,4.0,earliest-available,4667c2d,2026-06-01
568,NDT568NC,NDT-Night,2026-06-01,63,far-30+,3,3.0,6.0,8.0,10.0,8,0.0,0.0,0.0,True,4.0,published,4667c2d,2026-06-01
568,NDT568NC,NDT-Night,2026-06-08,56,far-30+,3,3.0,5.0,8.0,10.0,8,0.0,0.0,0.0,True,5.0,published,bfc14ca,2026-06-08
568,NDT568NC,NDT-Night,2026-06-12,52,far-30+,5,5.0,6.0,9.0,11.0,8,1.0,1.0,0.125,True,5.0,published,9215357,2026-06-12
568,NDT568NC,NDT-Night,2026-06-18,46,far-30+,8,8.0,7.0,10.0,13.0,8,2.0,2.0,0.25,True,6.0,published,b40dc4d,2026-06-18
568,NDT568NC,NDT-Night,2026-06-26,38,far-30+,10,10.0,7.0,10.0,14.0,8,2.0,2.0,0.25,True,7.0,published,d930753,2026-06-26
568,NDT568NC,NDT-Night,2026-07-07,27,medium-14-30,10,10.0,4.0,6.0,8.0,8,-2.0,2.0,-0.25,True,4.0,published,2c18386,2026-07-07
568,NDT568NC,NDT-Night,2026-07-13,21,medium-14-30,11,11.0,4.0,7.0,9.0,8,-1.0,1.0,-0.125,True,5.0,published,95b0ac3,2026-07-13
568,NDT568NC,NDT-Night,2026-07-20,14,medium-14-30,11,11.0,4.0,6.0,8.0,8,-2.0,2.0,-0.25,True,4.0,published,023dc9c,2026-07-20
568,NDT568NC,NDT-Night,2026-07-31,3,near-<14,12,12.0,4.0,5.0,6.0,8,-3.0,3.0,-0.375,False,2.0,published,cb80888,2026-07-31
568,UDT568,UDT,2026-05-12,83,far-30+,27,,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,earliest-available,4667c2d,2026-06-01
568,UDT568,UDT,2026-05-15,80,far-30+,29,29.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,earliest-available,4667c2d,2026-06-01
568,UDT568,UDT,2026-05-22,73,far-30+,31,31.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,earliest-available,4667c2d,2026-06-01
568,UDT568,UDT,2026-05-26,69,far-30+,31,31.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,earliest-available,4667c2d,2026-06-01
568,UDT568,UDT,2026-06-01,63,far-30+,33,33.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,published,4667c2d,2026-06-01
568,UDT568,UDT,2026-06-08,56,far-30+,38,38.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,published,bfc14ca,2026-06-08
568,UDT568,UDT,2026-06-12,52,far-30+,65,65.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,published,9215357,2026-06-12
568,UDT568,UDT,2026-06-18,46,far-30+,73,73.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,published,b40dc4d,2026-06-18
568,UDT568,UDT,2026-06-26,38,far-30+,89,89.0,16.0,21.0,26.0,20,1.0,1.0,0.05,True,10.0,published,d930753,2026-06-26
568,UDT568,UDT,2026-07-07,27,medium-14-30,87,89.0,11.0,17.0,21.0,20,-3.0,3.0,-0.15,True,10.0,published,2c18386,2026-07-07
568,UDT568,UDT,2026-07-13,21,medium-14-30,93,93.0,13.0,20.0,24.0,20,0.0,0.0,0.0,True,11.0,published,95b0ac3,2026-07-13
568,UDT568,UDT,2026-07-20,14,medium-14-30,94,94.0,16.0,21.0,24.0,20,1.0,1.0,0.05,True,8.0,published,023dc9c,2026-07-20
568,UDT568,UDT,2026-07-31,3,near-<14,74,94.0,19.0,20.0,21.0,20,0.0,0.0,0.0,True,2.0,published,cb80888,2026-07-31
