snapshot_date,cohort,program,start_date,days_to_start,total_ever_enrolled,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,proj_low,proj_mid,proj_high,projection_basis
2026-05-12,NDT566,NDT-Day,2026-05-18,6,95,64,53,11,0,31,23,8,1,5,2,0,3,1,56,1,3,5,"near-<14: WBH(1)×0.90 floor, VIP(5)×0.50 + Priority(6)×0.30 upside [tier rates are placeholders, data-starved]"
2026-05-12,NDT567,NDT-Day,2026-06-29,48,44,44,33,11,0,0,0,0,2,2,6,0,0,0,38,14,18,22,"far-30+: accum_fill@48d=0.54, raw_proj=30.0, capped@2.5x_pos_avg, blended_with_pos_avg=18.0 (prior_weight=0.67)"
2026-05-12,NDT568,NDT-Day,2026-08-03,83,20,19,15,4,0,1,0,1,0,0,0,0,0,0,19,8,10,13,"far-30+: accum_fill@83d=0.17, raw_proj=17.5, capped@2.5x_pos_avg, blended_with_pos_avg=10.5 (prior_weight=0.67)"
2026-05-12,NDT569,NDT-Day,2026-09-08,119,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,11,14,17,"far-30+: accum_fill@119d=0.10, raw_proj=20.0, blended_with_pos_avg=14.0 (prior_weight=0.67)"
2026-05-12,NDT570,NDT-Day,2026-10-13,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,"far-30+: accum_fill@154d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)"
2026-05-12,NDT571,NDT-Day,2026-11-16,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,"far-30+: accum_fill@188d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)"
2026-05-12,NDT572,NDT-Day,2027-01-04,237,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,6,7,"far-30+: accum_fill@237d=0.10, raw_proj=10.0, blended_with_pos_avg=6.0 (prior_weight=0.67)"
2026-05-12,NDT573,NDT-Day,2027-02-08,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,"far-30+: accum_fill@272d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)"
2026-05-12,NDT574,NDT-Day,2027-03-15,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,"far-30+: accum_fill@307d=0.10, raw_proj=0.0, blended_with_pos_avg=3.3 (prior_weight=0.67)"
2026-05-12,NDT575,NDT-Day,2027-04-19,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,"far-30+: accum_fill@342d=0.10, raw_proj=0.0, blended_with_pos_avg=4.0 (prior_weight=0.67)"
2026-05-12,NDT566NC,NDT-Night,2026-05-18,6,11,10,2,7,1,1,1,0,3,4,0,0,0,0,3,3,5,5,"near-<14: WBH(3)×0.90 floor, VIP(4)×0.50 + Priority(0)×0.30 upside [tier rates are placeholders, data-starved]"
2026-05-12,NDT568NC,NDT-Night,2026-08-03,83,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,7,10,"far-30+: accum_fill@83d=0.17, raw_proj=5.9, blended_with_pos_avg=7.3 (prior_weight=0.67)"
2026-05-12,NDT570NC,NDT-Night,2026-10-13,154,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,7,10,"far-30+: accum_fill@154d=0.10, raw_proj=10.0, blended_with_pos_avg=7.3 (prior_weight=0.67)"
2026-05-12,NDT572NC,NDT-Night,2027-01-04,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,"far-30+: accum_fill@237d=0.10, raw_proj=0.0, blended_with_pos_avg=1.3 (prior_weight=0.67)"
2026-05-12,NDT574NC,NDT-Night,2027-03-15,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,"far-30+: accum_fill@307d=0.10, raw_proj=0.0, blended_with_pos_avg=2.0 (prior_weight=0.67)"
2026-05-12,UDT566,UDT,2026-05-18,6,94,46,29,17,0,48,26,22,10,9,2,1,5,4,23,9,14,17,"near-<14: WBH(10)×0.90 floor, VIP(9)×0.50 + Priority(12)×0.30 upside [tier rates are placeholders, data-starved]"
2026-05-12,UDT567,UDT,2026-06-29,48,52,43,27,16,0,9,5,4,3,9,9,0,4,0,25,17,22,28,"far-30+: accum_fill@48d=0.54, raw_proj=37.5, capped@2.5x_pos_avg, blended_with_pos_avg=22.5 (prior_weight=0.67)"
2026-05-12,UDT568,UDT,2026-08-03,83,29,27,14,13,0,2,0,2,0,0,2,0,0,0,25,16,21,26,"far-30+: accum_fill@83d=0.17, raw_proj=35.0, capped@2.5x_pos_avg, blended_with_pos_avg=21.0 (prior_weight=0.67)"
2026-05-12,UDT569,UDT,2026-09-08,119,4,3,0,3,0,1,0,1,0,0,0,0,0,0,3,19,25,31,"far-30+: accum_fill@119d=0.10, raw_proj=30.0, blended_with_pos_avg=25.3 (prior_weight=0.67)"
2026-05-12,UDT570,UDT,2026-10-13,154,5,4,0,4,0,1,0,1,0,0,2,0,0,0,2,20,27,33,"far-30+: accum_fill@154d=0.10, raw_proj=40.0, blended_with_pos_avg=26.7 (prior_weight=0.67)"
2026-05-12,UDT571,UDT,2026-11-16,188,3,3,0,3,0,0,0,0,0,0,1,0,0,0,2,16,21,26,"far-30+: accum_fill@188d=0.10, raw_proj=30.0, blended_with_pos_avg=20.7 (prior_weight=0.67)"
2026-05-12,UDT572,UDT,2027-01-04,237,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,11,15,18,"far-30+: accum_fill@237d=0.10, raw_proj=10.0, blended_with_pos_avg=14.7 (prior_weight=0.67)"
2026-05-12,UDT573,UDT,2027-02-08,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,"far-30+: accum_fill@272d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)"
2026-05-12,UDT574,UDT,2027-03-15,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,12,"far-30+: accum_fill@307d=0.10, raw_proj=0.0, blended_with_pos_avg=9.3 (prior_weight=0.67)"
2026-05-12,UDT575,UDT,2027-04-19,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,"far-30+: accum_fill@342d=0.10, raw_proj=0.0, blended_with_pos_avg=6.7 (prior_weight=0.67)"
