snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical
2026-06-18,NDT567,NDT-Day,2026-06-29,11,104,87,16,0,14,11,5,0,6,1,79,41,38,17,19,,,,,104,11,14,17,"near-<14: WBH(14)×0.76 floor, VIP(11)×0.34 + Priority(12)×0.22 upside",0.7071428571428555,above
2026-06-18,NDT568,NDT-Day,2026-08-03,46,52,45,7,0,0,2,1,0,1,0,48,17,31,7,14,,,,,52,8,10,13,"far-30+: accum_fill@46d=0.56, raw_proj=17.5, capped@2.5x_pos_avg, blended_with_pos_avg=10.5 (prior_weight=0.67)",0.5716666666666663,above
2026-06-18,NDT568NC,NDT-Night,2026-08-03,46,8,2,6,0,0,4,0,0,0,0,4,1,3,6,3,,,,,8,7,10,13,"far-30+: accum_fill@46d=0.56, raw_proj=14.2, blended_with_pos_avg=10.1 (prior_weight=0.67)",0.6533333333333333,above
2026-06-18,NDT569,NDT-Day,2026-09-08,82,6,3,3,0,0,0,0,0,0,0,6,1,5,3,5,,,,,6,12,16,21,"far-30+: accum_fill@82d=0.18, raw_proj=27.5, capped@2.5x_pos_avg, blended_with_pos_avg=16.5 (prior_weight=0.67)",0.7699999999999996,above
2026-06-18,NDT570,NDT-Day,2026-10-13,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,5,6,"far-30+: accum_fill@117d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT570NC,NDT-Night,2026-10-13,117,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,5,7,10,"far-30+: accum_fill@117d=0.10, raw_proj=10.0, blended_with_pos_avg=7.3 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT571,NDT-Day,2026-11-16,151,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,6,9,11,"far-30+: accum_fill@151d=0.10, raw_proj=10.0, blended_with_pos_avg=8.7 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT572,NDT-Day,2027-01-04,200,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,4,6,8,"far-30+: accum_fill@200d=0.10, raw_proj=10.0, blended_with_pos_avg=6.0 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT572NC,NDT-Night,2027-01-04,200,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,2,3,4,"far-30+: accum_fill@200d=0.10, raw_proj=5.0, capped@2.5x_pos_avg, blended_with_pos_avg=3.0 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT573,NDT-Day,2027-02-08,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,7,"far-30+: accum_fill@235d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT574,NDT-Day,2027-03-15,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,3,4,"far-30+: accum_fill@270d=0.10, raw_proj=0.0, blended_with_pos_avg=3.3 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT574NC,NDT-Night,2027-03-15,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,3,"far-30+: accum_fill@270d=0.10, raw_proj=0.0, blended_with_pos_avg=2.0 (prior_weight=0.67)",0.0,unknown
2026-06-18,NDT575,NDT-Day,2027-04-19,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,4,5,"far-30+: accum_fill@305d=0.10, raw_proj=0.0, blended_with_pos_avg=4.0 (prior_weight=0.67)",0.0,unknown
2026-06-18,UDT567,UDT,2026-06-29,11,49,35,14,0,12,14,3,0,8,1,23,15,8,14,9,,,,,63,9,14,17,"near-<14: WBH(12)×0.76 floor, VIP(14)×0.34 + Priority(12)×0.22 upside",0.883928571428573,above
2026-06-18,UDT568,UDT,2026-08-03,46,73,41,32,0,0,16,13,1,1,0,53,19,34,32,18,,,,,73,16,21,26,"far-30+: accum_fill@46d=0.56, raw_proj=35.0, capped@2.5x_pos_avg, blended_with_pos_avg=21.0 (prior_weight=0.67)",1.1433333333333326,above
2026-06-18,UDT569,UDT,2026-09-08,82,19,10,9,0,0,0,1,0,0,0,18,7,11,9,11,,,,,19,26,34,43,"far-30+: accum_fill@82d=0.18, raw_proj=57.5, capped@2.5x_pos_avg, blended_with_pos_avg=34.5 (prior_weight=0.67)",1.609999999999999,above
2026-06-18,UDT570,UDT,2026-10-13,117,5,1,4,0,0,0,3,0,0,0,2,2,0,4,0,,,,,5,23,30,37,"far-30+: accum_fill@117d=0.10, raw_proj=50.0, blended_with_pos_avg=30.0 (prior_weight=0.67)",0.0,unknown
2026-06-18,UDT571,UDT,2026-11-16,151,4,1,3,0,0,0,1,0,0,0,3,2,1,3,1,,,,,4,18,24,30,"far-30+: accum_fill@151d=0.10, raw_proj=40.0, blended_with_pos_avg=24.0 (prior_weight=0.67)",0.0,unknown
2026-06-18,UDT572,UDT,2027-01-04,200,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,11,15,18,"far-30+: accum_fill@200d=0.10, raw_proj=10.0, blended_with_pos_avg=14.7 (prior_weight=0.67)",0.0,unknown
2026-06-18,UDT573,UDT,2027-02-08,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,6,"far-30+: accum_fill@235d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)",0.0,unknown
2026-06-18,UDT574,UDT,2027-03-15,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,7,9,12,"far-30+: accum_fill@270d=0.10, raw_proj=0.0, blended_with_pos_avg=9.3 (prior_weight=0.67)",0.0,unknown
2026-06-18,UDT575,UDT,2027-04-19,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,5,7,8,"far-30+: accum_fill@305d=0.10, raw_proj=0.0, blended_with_pos_avg=6.7 (prior_weight=0.67)",0.0,unknown
