snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical,vip_priority_count
2026-07-31,NDT568,NDT-Day,2026-08-03,3,123,107,14,0,5,4,0,1,1,1,114,66,48,15,37,,,,,123,4,5,6,"near-<14: WBH(5)×0.81 floor, VIP(4)×0.34 + Priority(3)×0.22 upside",0.3499999999999996,above,4
2026-07-31,NDT568NC,NDT-Night,2026-08-03,3,12,3,9,0,5,4,0,0,0,1,3,3,0,9,2,,,,,12,4,5,6,"near-<14: WBH(5)×0.81 floor, VIP(4)×0.34 + Priority(1)×0.22 upside",0.3999999999999994,above,4
2026-07-31,NDT569,NDT-Day,2026-09-08,39,75,61,14,0,0,5,1,1,1,0,69,30,39,14,39,,,,,75,12,16,21,"far-30+: accum_fill@39d=0.65, raw_proj=27.5, capped@2.5x_pos_avg, blended_with_pos_avg=16.5 (prior_weight=0.67)",0.8983333333333334,above,6
2026-07-31,NDT570,NDT-Day,2026-10-13,74,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,4,6,7,"far-30+: accum_fill@74d=0.26, raw_proj=3.8, blended_with_pos_avg=5.9 (prior_weight=0.67)",0.49,below,0
2026-07-31,NDT570NC,NDT-Night,2026-10-13,74,2,0,2,0,0,0,0,0,0,0,2,0,2,2,2,,,,,2,5,7,9,"far-30+: accum_fill@74d=0.26, raw_proj=7.7, blended_with_pos_avg=6.6 (prior_weight=0.67)",0.4199999999999999,above,0
2026-07-31,NDT571,NDT-Day,2026-11-16,108,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,6,9,11,"far-30+: accum_fill@108d=0.10, raw_proj=10.0, blended_with_pos_avg=8.7 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,NDT572,NDT-Day,2027-01-04,157,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,4,6,8,"far-30+: accum_fill@157d=0.10, raw_proj=10.0, blended_with_pos_avg=6.0 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,NDT572NC,NDT-Night,2027-01-04,157,3,0,3,0,0,0,0,0,0,0,3,1,2,3,0,,,,,3,2,3,4,"far-30+: accum_fill@157d=0.10, raw_proj=5.0, capped@2.5x_pos_avg, blended_with_pos_avg=3.0 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,NDT573,NDT-Day,2027-02-08,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,7,"far-30+: accum_fill@192d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,NDT574,NDT-Day,2027-03-15,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,3,4,"far-30+: accum_fill@227d=0.10, raw_proj=0.0, blended_with_pos_avg=3.3 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,NDT574NC,NDT-Night,2027-03-15,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,3,"far-30+: accum_fill@227d=0.10, raw_proj=0.0, blended_with_pos_avg=2.0 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,NDT575,NDT-Day,2027-04-19,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,4,5,"far-30+: accum_fill@262d=0.10, raw_proj=0.0, blended_with_pos_avg=4.0 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,UDT568,UDT,2026-08-03,3,74,56,17,0,23,3,1,1,1,1,46,37,9,17,8,,,,,94,19,20,21,"near-<14: WBH(23)×0.81 floor, VIP(3)×0.34 + Priority(4)×0.22 upside",0.6999999999999993,above,5
2026-07-31,UDT569,UDT,2026-09-08,39,71,54,17,0,2,9,8,0,2,0,55,45,10,17,11,,,,,71,25,34,44,"far-30+: accum_fill@39d=0.65, raw_proj=57.5, capped@2.5x_pos_avg, blended_with_pos_avg=34.5 (prior_weight=0.67)",1.8783333333333336,above,14
2026-07-31,UDT570,UDT,2026-10-13,74,16,2,14,0,0,1,4,1,0,0,11,6,5,14,4,,,,,16,22,30,38,"far-30+: accum_fill@74d=0.26, raw_proj=50.0, capped@2.5x_pos_avg, blended_with_pos_avg=30.0 (prior_weight=0.67)",1.4000000000000004,above,5
2026-07-31,UDT571,UDT,2026-11-16,108,4,1,3,0,0,0,1,0,0,0,3,3,0,3,0,,,,,4,17,24,31,"far-30+: accum_fill@108d=0.10, raw_proj=40.0, blended_with_pos_avg=24.0 (prior_weight=0.67)",0.0,unknown,1
2026-07-31,UDT572,UDT,2027-01-04,157,4,1,3,0,0,0,0,0,0,0,4,2,2,3,1,,,,,4,18,25,31,"far-30+: accum_fill@157d=0.10, raw_proj=40.0, blended_with_pos_avg=24.7 (prior_weight=0.67)",0.0,unknown,0
2026-07-31,UDT573,UDT,2027-02-08,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,5,6,"far-30+: accum_fill@192d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)",0.0,unknown,0
