snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical
2026-09-18,NDT570,NDT-Day,2026-10-13,25,96,62,15,0,3,15,8,2,3,1,76,52,24,15,23,,,,,102,1,8,15,"medium-14-30: blend(accum=9, tier_mid=6.7); WBH=3,VIP=15,Priority=14 | band +/-6.2 = 1.28 x rms_z 1.71 (15-30d, n=7 cohorts) x sqrt(mid)",0.43650000000000055,above
2026-09-18,NDT570NC,NDT-Night,2026-10-13,25,9,2,6,0,1,7,4,0,2,0,1,0,1,7,2,,,,,9,0,4,9,"medium-14-30: blend(accum=5, tier_mid=2.8); WBH=1,VIP=7,Priority=6 | band +/-4.4 = 1.28 x rms_z 1.71 (15-30d, n=7 cohorts) x sqrt(mid)",0.2469257142857142,above
2026-09-18,NDT571,NDT-Day,2026-11-16,59,59,35,10,0,0,5,3,0,0,0,54,39,15,10,13,,,,,59,2,10,18,"far-30+: accum_fill@59d=0.27, proj_enrolled=218 x ate_mid=0.066 = 14.5 starts, blended_with_pos_avg=10.2 (prior_weight=0.67) | band +/-7.1 = 1.28 x rms_z 1.74 (31-60d, n=7 cohorts) x sqrt(mid)",0.23039999999999994,above
2026-09-18,NDT572,NDT-Day,2027-01-04,108,38,27,4,0,0,0,0,0,0,0,38,5,33,4,6,,,,,38,0,4,9,"far-30+: accum_fill@108d=0.08 below 0.15 floor; position_avg=4 only | band +/-4.2 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown
2026-09-18,NDT572NC,NDT-Night,2027-01-04,108,3,0,3,0,0,0,0,0,0,0,3,3,0,3,0,,,,,4,0,2,5,"far-30+: accum_fill@108d=0.10 below 0.15 floor; position_avg=2 only | band +/-3.0 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown
2026-09-18,NDT573,NDT-Day,2027-02-08,143,12,10,1,0,0,0,0,0,0,0,12,2,10,1,0,,,,,12,2,8,14,"far-30+: accum_fill@143d=0.08 below 0.15 floor; position_avg=8 only | band +/-5.9 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown
2026-09-18,NDT574,NDT-Day,2027-03-15,178,8,0,2,0,0,0,0,0,0,0,8,2,6,2,2,,,,,8,0,5,10,"far-30+: accum_fill@178d=0.08 below 0.15 floor; position_avg=5 only | band +/-4.7 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown
2026-09-18,NDT574NC,NDT-Night,2027-03-15,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,3,7,"far-30+: accum_fill@178d=0.10 below 0.15 floor; position_avg=3 only | band +/-3.6 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown
2026-09-18,NDT575,NDT-Day,2027-04-19,213,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,1,0,6,12,"far-30+: accum_fill@213d=0.08 below 0.15 floor; position_avg=6 only | band +/-5.1 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown
2026-09-18,NDT576,NDT-Day,2027-05-17,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,5,10,"far-30+: accum_fill@241d=0.08 below 0.15 floor; position_avg=5 only | band +/-4.7 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown
